state,null,unclear_data,male,female,number_of_judges
Andhra Pradesh,,16,2266,1226,3508
Assam,,28,937,613,1578
Bihar,,3,3846,275,4124
Chandigarh,,,89,51,140
Chattisgarh,,8,688,344,1040
Delhi,,39,943,514,1496
Goa,,13,160,164,337
Gujarath,,2412,2700,2249,7361
Haryana,,17,1497,824,2338
Himachal Pradesh,,18,645,252,915
Jammu and kashmir,,11,751,148,910
Jharkhand,,2,2055,228,2285
Karnataka,,375,4376,2064,6815
Kerala,,47,2196,864,3107
Madhya Pradesh,,46,4359,1224,5629
Maharashtra,,453,15756,6231,22440
Manipur,,15,49,49,113
Meghalaya,,,56,92,148
Mizoram,,7,13,24,44
Orissa,1,4,1359,674,2038
Punjab,,20,1128,793,1941
Rajasthan,,43,3688,1702,5433
Sikkim,,2,68,97,167
Tamilnadu,,61,2346,1309,3716
Telangana,,21,1681,887,2589
Tripura,,6,315,123,444
Uttar pradesh,,39,11054,2945,14038
Uttarakhand,,4,654,424,1082
West Bengal,,25,1865,812,2702
