year,state,dismissed_count,prison_count,withdrawal_count,avg_decision_end_per1lakhcases,avg_fileend_per1lakhcases,avg_filecourt_per1lakhcases,pendingcases_count,pending_casesperlakh,criminal_count,criminal_perlakh,noncriminal_count,noncriminal_perlakh,total_cases,avgyears_fileend_per1lakhcases,avgyears_filecourt_per1lakhcases
2010,Andhra Pradesh,27690,0,1332,0,888,353,200,0.002,73357,0.73357,30467,0.46002,119359,2.43287671232877,0.967123287671233
2011,Andhra Pradesh,35976,0,1802,0,598,165,5710,0.0571,94262,1.11527,46710,0.63975,158237,1.63835616438356,0.452054794520548
2012,Andhra Pradesh,40361,0,2068,0,503,114,838,0.00838,97487,1.23052,52130,0.72407,180811,1.37808219178082,0.312328767123288
2013,Andhra Pradesh,36882,0,2653,0,411,90,1004,0.01004,111718,1.23547,71926,0.83755,195473,1.12602739726027,0.246575342465753
2014,Andhra Pradesh,11372,0,679,0,990,188,2106,0.02106,149739,0.43522,90652,0.27153,246828,2.71232876712329,0.515068493150685
2015,Andhra Pradesh,13358,0,1110,0,666,113,2642,0.02642,172273,0.60338,95688,0.33901,269049,1.82465753424658,0.30958904109589
2016,Andhra Pradesh,0,0,0,0,1119,202,2658,0.02658,177757,0.31566,92329,0.16792,273082,3.06575342465753,0.553424657534247
2017,Andhra Pradesh,0,0,0,0,310,60,1656,0.01656,188789,0.79525,102614,0.45845,309346,0.849315068493151,0.164383561643836
2018,Andhra Pradesh,0,0,0,0,232,60,5579,0.05579,160724,0.59479,85281,0.33408,317917,0.635616438356164,0.164383561643836
2010,Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Assam,9800,1307,1145,4,1384,476,3237,0.03237,7782,0.39268,32965,0.64451,72233,3.79178082191781,1.3041095890411
2012,Assam,12621,422,1183,2,953,329,900,0.009,12236,0.56425,31342,0.77753,91339,2.61095890410959,0.901369863013699
2013,Assam,13227,553,1744,0,603,179,1164,0.01164,20782,0.72041,39649,0.90908,111690,1.65205479452055,0.49041095890411
2014,Assam,3940,138,528,0,1743,578,643,0.00643,55566,0.1745,69277,0.21313,131610,4.77534246575342,1.58356164383562
2015,Assam,4092,111,559,0,1120,308,875,0.00875,76636,0.25146,75903,0.24596,155744,3.06849315068493,0.843835616438356
2016,Assam,0,105,0,0,1666,443,1951,0.01951,82355,0.14921,70313,0.13121,155943,4.56438356164384,1.21369863013699
2017,Assam,0,566,0,0,339,68,3002,0.03002,119353,0.528,76879,0.36124,214503,0.928767123287671,0.186301369863014
