state,file_closing_days,file_reach_days,decide_close_days,year
Andhra Pradesh,1000,404,0,2010
Assam,0,0,0,2010
Bihar,0,0,0,2010
Chandigarh,0,0,0,2010
Chattisgarh,0,0,0,2010
DNH at silvasa,0,0,0,2010
Delhi,0,0,0,2010
Diu and daman,0,0,0,2010
Goa,0,0,0,2010
Gujarath,0,0,0,2010
Haryana,0,0,0,2010
Himachal Pradesh,0,0,0,2010
Jammu and kashmir,0,0,0,2010
Jharkhand,0,0,0,2010
Karnataka,790,360,13,2010
Kerala,0,0,0,2010
Ladakh,0,0,0,2010
Madhya Pradesh,0,0,0,2010
Maharashtra,829,115,4,2010
Manipur,0,0,0,2010
Meghalaya,0,0,0,2010
Mizoram,0,0,0,2010
Orissa,0,0,0,2010
Punjab,0,0,0,2010
Rajasthan,0,0,0,2010
Sikkim,0,0,0,2010
Tamilnadu,0,0,0,2010
Telangana,0,0,0,2010
Tripura,0,0,0,2010
Uttar pradesh,0,0,0,2010
Uttarakhand,0,0,0,2010
West Bengal,0,0,0,2010
Andhra Pradesh,885,247,0,2011
Assam,893,317,2,2011
Bihar,1564,852,6,2011
Chandigarh,834,156,35,2011
Chattisgarh,1128,380,24,2011
DNH at silvasa,909,102,1,2011
Delhi,718,100,7,2011
Diu and daman,785,88,0,2011
Goa,484,96,20,2011
Gujarath,914,382,4,2011
Haryana,824,279,4,2011
Himachal Pradesh,1013,315,3,2011
Jammu and kashmir,978,447,0,2011
Jharkhand,1406,596,3,2011
Karnataka,688,170,7,2011
Kerala,884,283,15,2011
Ladakh,2527,2243,0,2011
Madhya Pradesh,833,360,9,2011
Maharashtra,763,90,2,2011
Manipur,1187,610,1,2011
Meghalaya,687,130,0,2011
Mizoram,551,373,0,2011
Orissa,1595,931,7,2011
Punjab,891,295,2,2011
Rajasthan,1322,559,5,2011
Sikkim,702,423,3,2011
Tamilnadu,1078,361,1,2011
Telangana,953,285,1,2011
Tripura,818,216,0,2011
Uttar pradesh,1197,526,15,2011
Uttarakhand,860,413,6,2011
West Bengal,1153,606,2,2011
Andhra Pradesh,830,191,0,2012
Assam,752,275,2,2012
Bihar,1238,560,7,2012
Chandigarh,594,112,8,2012
Chattisgarh,926,224,1,2012
DNH at silvasa,853,44,0,2012
Delhi,656,78,4,2012
Diu and daman,418,45,0,2012
Goa,433,109,15,2012
Gujarath,728,268,3,2012
Haryana,699,170,3,2012
Himachal Pradesh,741,148,2,2012
Jammu and kashmir,709,296,0,2012
Jharkhand,992,338,2,2012
Karnataka,556,99,4,2012
Kerala,707,214,4,2012
Ladakh,2271,1812,0,2012
Madhya Pradesh,770,277,9,2012
Maharashtra,707,63,2,2012
Manipur,695,242,1,2012
Meghalaya,644,66,0,2012
Mizoram,184,94,0,2012
Orissa,1213,571,9,2012
Punjab,641,118,2,2012
Rajasthan,954,283,5,2012
Sikkim,393,140,1,2012
Tamilnadu,927,256,1,2012
Telangana,819,206,0,2012
Tripura,671,168,1,2012
Uttar pradesh,898,295,14,2012
Uttarakhand,694,306,4,2012
West Bengal,792,319,3,2012
Andhra Pradesh,711,159,0,2013
Assam,525,159,1,2013
Bihar,823,254,7,2013
Chandigarh,477,77,2,2013
Chattisgarh,905,334,1,2013
DNH at silvasa,534,26,0,2013
Delhi,582,72,10,2013
Diu and daman,324,24,0,2013
Goa,382,87,13,2013
Gujarath,482,130,3,2013
Haryana,574,98,2,2013
Himachal Pradesh,620,113,1,2013
Jammu and kashmir,733,330,0,2013
Jharkhand,768,267,2,2013
Karnataka,395,50,5,2013
Kerala,589,175,2,2013
Ladakh,2001,1515,0,2013
Madhya Pradesh,580,154,6,2013
Maharashtra,576,51,2,2013
Manipur,452,127,0,2013
Meghalaya,446,65,0,2013
Mizoram,224,117,0,2013
Orissa,912,395,5,2013
